Model,Accuracy,Precision,Recall,F1
Gradient Boosting,0.673514306676449,0.6724942392834714,0.673514306676449,0.6573553833034385
Random Forest,0.6647101980924431,0.6634359802564945,0.6647101980924431,0.652269101629032
XGBoost,0.6559060895084373,0.662722597969971,0.6559060895084373,0.635471612515686
CatBoost,0.6426999266324285,0.6424737484558738,0.6426999266324285,0.615340188823568
Decision Tree,0.6397652237710931,0.5853239043242342,0.6397652237710931,0.6079457395044516
KNN,0.6302274394717535,0.6105346612514548,0.6302274394717535,0.5990793168059196
