iter	Passed	Remaining
399	48413	12103
400	48536	11982
401	48664	11863
402	48782	11741
403	48903	11620
404	49014	11497
405	49141	11377
406	49267	11257
407	49392	11137
408	49509	11015
409	49646	10898
410	49774	10778
411	49910	10660
412	50039	10541
413	50157	10419
414	50273	10296
415	50399	10176
416	50520	10055
417	50653	9936
418	50775	9815
419	50896	9694
420	51026	9575
421	51144	9453
422	51262	9331
423	51377	9209
424	51636	9112
425	51767	8992
426	51888	8870
427	52014	8750
428	52124	8626
429	52239	8504
430	52348	8380
431	52464	8258
432	52574	8135
433	52690	8012
434	52802	7890
435	52920	7768
436	53080	7652
437	53206	7531
438	53336	7411
439	53457	7289
440	53573	7167
441	53702	7046
442	53825	6925
443	53944	6803
444	54058	6681
445	54176	6559
446	54308	6439
447	54431	6317
448	54559	6197
449	54948	6105
450	55784	6060
451	56606	6011
452	57391	5954
453	58275	5904
454	59348	5869
455	61056	5891
456	61860	5820
457	62771	5756
458	64986	5804
459	66046	5743
460	67021	5669
461	67776	5574
462	68786	5497
463	70630	5479
464	72997	5494
465	77303	5640
466	80385	5680
467	82886	5667
468	84489	5584
469	85378	5449
470	86490	5325
471	87185	5172
472	87703	5006
473	88255	4841
474	88878	4677
475	89324	4503
476	89984	4338
477	90437	4162
478	91043	3991
479	91681	3820
480	92098	3637
481	92671	3460
482	93077	3276
483	93475	3090
484	93826	2901
485	94257	2715
486	95071	2537
487	95492	2348
488	95786	2154
489	96205	1963
490	96622	1771
491	97047	1578
492	97454	1383
493	97845	1188
494	98228	992
495	98708	796
496	99235	599
497	99684	400
498	100110	200
499	100529	0
