iter	Accuracy	MultiClass
85	0.6760279001	0.7049920289
86	0.6762114537	0.7047583747
87	0.6763950073	0.7046092239
88	0.6760279001	0.7034131276
89	0.6765785609	0.7025746285
90	0.6769456681	0.7014923216
91	0.6769456681	0.700471475
92	0.6771292217	0.7001401394
93	0.6778634361	0.6986909877
94	0.6782305433	0.6977366435
95	0.6782305433	0.6976265322
96	0.6780469897	0.6968966121
97	0.6782305433	0.6964353879
98	0.6782305433	0.695978221
99	0.6782305433	0.6958290204
100	0.6785976505	0.6951310495
101	0.6789647577	0.694267518
102	0.6793318649	0.6937212452
103	0.6811674009	0.6929815338
104	0.6811674009	0.6922617377
105	0.6813509545	0.6917178009
106	0.6822687225	0.6911771101
107	0.6830029369	0.6898326739
108	0.6828193833	0.6893796459
109	0.6839207048	0.6884758955
110	0.6844713656	0.6876181561
111	0.6846549192	0.6865880936
112	0.6853891336	0.686077196
113	0.6864904552	0.6850189518
114	0.6864904552	0.6850171131
115	0.687041116	0.6844300861
116	0.6872246696	0.6844045521
117	0.687041116	0.6836430126
118	0.6872246696	0.6835896955
119	0.6886930984	0.6826834727
120	0.6886930984	0.6825130061
121	0.6881424376	0.681949393
122	0.6892437592	0.6812928474
123	0.6894273128	0.6807896261
124	0.68979442	0.6804271879
125	0.68979442	0.6799959961
126	0.6905286344	0.6792098591
127	0.690712188	0.6788266217
128	0.6914464023	0.6780591622
129	0.6918135095	0.6777341198
130	0.6921806167	0.6768702535
131	0.6921806167	0.6761432503
132	0.6923641703	0.6761171537
133	0.6923641703	0.6757429433
134	0.6932819383	0.6745702218
135	0.6932819383	0.6733617844
136	0.6930983847	0.6730137703
137	0.6941997063	0.6722623372
138	0.6940161527	0.6719968181
139	0.6947503671	0.671621733
140	0.6947503671	0.6715844337
141	0.6953010279	0.671266861
142	0.6949339207	0.6706687931
143	0.6951174743	0.6701830764
144	0.6951174743	0.6701815615
145	0.6953010279	0.6697722017
146	0.6956681351	0.6692048995
147	0.6958516887	0.6682130576
148	0.6964023495	0.6679224039
149	0.6964023495	0.6674808789
150	0.6973201175	0.6668178855
151	0.6976872247	0.6666110665
152	0.6989720999	0.6658236065
153	0.6987885463	0.6654658897
154	0.6997063142	0.6645489627
155	0.699339207	0.6640689232
156	0.6997063142	0.6637457124
157	0.7008076358	0.6626557414
158	0.7013582966	0.6618221913
159	0.7015418502	0.6609671337
160	0.7022760646	0.6605193379
161	0.7037444934	0.6599825405
162	0.704845815	0.6595757129
163	0.7053964758	0.6584164908
164	0.7052129222	0.6576989534
165	0.7072320117	0.656246529
166	0.7081497797	0.6553660716
167	0.7077826725	0.6545939668
168	0.7085168869	0.6539664378
169	0.7090675477	0.653177513
170	0.7098017621	0.6526483523
171	0.7098017621	0.6516593246
172	0.7096182085	0.6510201616
173	0.7109030837	0.6505709177
174	0.7107195301	0.6502238499
175	0.7114537445	0.6495608785
176	0.7125550661	0.6490640144
177	0.7131057269	0.6486804993
178	0.7134728341	0.6483868334
179	0.7136563877	0.648012501
180	0.7138399413	0.6474140646
181	0.7140234949	0.6471734043
182	0.7149412628	0.6463076256
183	0.7164096916	0.6451809248
184	0.717143906	0.6448860396
185	0.7176945668	0.6443357188
186	0.718061674	0.6439231989
187	0.7184287812	0.6432088843
188	0.718979442	0.6428194145
189	0.7191629956	0.6422954164
190	0.7195301028	0.6418925103
191	0.7197136564	0.6414948649
192	0.7202643172	0.6408302151
193	0.7209985316	0.6400483584
194	0.7211820852	0.6390952357
195	0.7219162996	0.638558107
196	0.722650514	0.6375944852
197	0.7243024963	0.6366778851
198	0.7250367107	0.6362177686
199	0.7266886931	0.6358572411
200	0.7274229075	0.6354204934
201	0.7283406755	0.6346158245
202	0.7290748899	0.6339594213
203	0.7305433186	0.6334386012
204	0.7296255507	0.6327931164
205	0.7298091043	0.6322540652
206	0.7307268722	0.6318197641
207	0.7305433186	0.6314214372
208	0.7320117474	0.6307280989
209	0.7327459618	0.6301782968
210	0.7329295154	0.6297180222
211	0.7332966226	0.6293213627
212	0.7343979442	0.6286385969
213	0.7362334802	0.6277347548
214	0.735866373	0.6268219053
215	0.736784141	0.6260222978
216	0.7373348018	0.6255791701
217	0.736784141	0.6251188907
218	0.7375183554	0.6245528704
219	0.7386196769	0.6235918736
220	0.7386196769	0.6231586147
221	0.7397209985	0.6228251292
222	0.7395374449	0.6224605046
223	0.7413729809	0.6215295001
224	0.7424743025	0.620872623
225	0.7435756241	0.6198224762
226	0.7437591777	0.6194912385
227	0.7439427313	0.6191134135
228	0.7446769457	0.6187262055
229	0.7457782673	0.6178392537
230	0.7461453744	0.6173794691
231	0.7468795888	0.6167940015
232	0.7477973568	0.6160610731
233	0.7479809104	0.6155382112
234	0.7492657856	0.6144470287
235	0.7498164464	0.6137449995
236	0.7505506608	0.6132305861
237	0.7511013216	0.6129229403
238	0.751835536	0.6123937244
239	0.752753304	0.6121400704
240	0.7531204112	0.6112876797
241	0.7538546256	0.6107386059
242	0.7540381791	0.610238183
243	0.7553230543	0.6091929743
244	0.7555066079	0.6086113885
245	0.7567914831	0.6079242346
246	0.7584434655	0.6070825837
247	0.7584434655	0.6064020693
248	0.7593612335	0.6053880217
249	0.7597283407	0.6050320426
250	0.7604625551	0.6041485735
251	0.762298091	0.6032309765
252	0.7628487518	0.6027826993
253	0.7621145374	0.6021831737
254	0.7619309838	0.6019436758
255	0.7619309838	0.6015087007
256	0.762298091	0.6010752177
257	0.7624816446	0.6006824041
258	0.764133627	0.6003268737
259	0.764133627	0.5999643325
260	0.7635829662	0.5992577862
261	0.764133627	0.5984918648
262	0.7648678414	0.5978193292
263	0.7656020558	0.5972771545
264	0.765969163	0.5962340912
265	0.7663362702	0.5958104676
266	0.767804699	0.5952189052
267	0.7685389134	0.5942623396
268	0.7698237885	0.593766014
269	0.7707415565	0.5930652938
270	0.7707415565	0.5925197124
271	0.7712922173	0.5921108292
272	0.7711086637	0.5916901339
273	0.7709251101	0.5912105827
274	0.7725770925	0.5900565795
275	0.7727606461	0.5894609546
276	0.7736784141	0.588937267
277	0.7744126285	0.5881259124
278	0.7755139501	0.5875945721
279	0.7767988253	0.5867188829
280	0.7767988253	0.5862202599
281	0.7771659325	0.5859261038
282	0.7771659325	0.5851646728
283	0.7784508076	0.5844811404
284	0.7797356828	0.5837055355
285	0.7799192364	0.5829471175
286	0.7804698972	0.5823002951
287	0.7804698972	0.581450083
288	0.7813876652	0.5808241448
289	0.7817547724	0.5801451687
290	0.781938326	0.579614925
291	0.7835903084	0.5790385157
292	0.7839574156	0.5783146511
293	0.7839574156	0.5778212846
294	0.7835903084	0.5775268174
295	0.7852422907	0.577091858
296	0.7861600587	0.5765500499
297	0.7874449339	0.5759068336
298	0.7883627019	0.5748392284
299	0.7878120411	0.5746153699
300	0.7885462555	0.5740464283
301	0.7885462555	0.5737100304
302	0.7890969163	0.5733225331
303	0.7903817915	0.5722312191
304	0.7909324523	0.5715393476
305	0.7914831131	0.571050146
306	0.7924008811	0.5703378289
307	0.7938693098	0.5697235552
308	0.7938693098	0.5690855814
309	0.794236417	0.5687264368
310	0.7946035242	0.5685413635
311	0.7947870778	0.567957053
312	0.7957048458	0.5674388448
313	0.7957048458	0.5669074166
314	0.7962555066	0.566721058
315	0.796989721	0.5661645203
316	0.797907489	0.5657838852
317	0.7977239354	0.5654264827
318	0.7973568282	0.5652125169
319	0.7982745962	0.5649510663
320	0.7984581498	0.564048921
321	0.7990088106	0.563411098
322	0.7995594714	0.5626456738
323	0.8004772394	0.5622575661
324	0.8017621145	0.5618265959
325	0.8021292217	0.5613235961
326	0.8026798825	0.5609009015
327	0.8024963289	0.5604407919
328	0.8021292217	0.5597073648
329	0.8028634361	0.5590408706
330	0.8026798825	0.5587425187
331	0.8028634361	0.5579958676
332	0.8043318649	0.557262825
333	0.8046989721	0.556522861
334	0.8046989721	0.5558144187
335	0.8048825257	0.5554458709
336	0.8043318649	0.5550502716
337	0.8045154185	0.5546273196
338	0.8041483113	0.5540745619
339	0.8061674009	0.5533932587
340	0.8063509545	0.5530338932
341	0.8065345081	0.5524248176
342	0.8069016153	0.55200539
343	0.8078193833	0.5514534739
344	0.8078193833	0.5512681499
345	0.8076358297	0.5509777505
346	0.8085535977	0.5506605618
347	0.8091042584	0.5502320383
348	0.8096549192	0.549647553
349	0.8100220264	0.5491208274
350	0.811123348	0.5485943301
351	0.8109397944	0.5482432729
352	0.81020558	0.5477469148
353	0.8122246696	0.5471679767
354	0.8133259912	0.5465377913
355	0.813876652	0.5462264433
356	0.8146108664	0.5455261983
357	0.8155286344	0.5449582633
358	0.8155286344	0.5445114498
359	0.8166299559	0.5440626723
360	0.8177312775	0.5436671244
361	0.8171806167	0.5432041162
362	0.8184654919	0.5426501086
363	0.8188325991	0.5423213003
364	0.8206681351	0.5415306159
365	0.8212187959	0.5409531748
366	0.8214023495	0.5403905603
367	0.8221365639	0.5395237247
368	0.8241556535	0.5387794202
369	0.824339207	0.5379932323
370	0.8241556535	0.5377405312
371	0.8232378855	0.5374262049
372	0.8237885463	0.5368392441
373	0.8245227606	0.5366224852
374	0.8254405286	0.5361413871
375	0.8254405286	0.5356391543
376	0.826174743	0.5354235427
377	0.8263582966	0.5349691328
378	0.8269089574	0.5343496775
379	0.8269089574	0.5337080466
380	0.8281938326	0.532984113
381	0.828928047	0.5323531224
382	0.8294787078	0.5319163874
383	0.830763583	0.5316395406
384	0.830763583	0.5312117544
385	0.8314977974	0.5308815085
386	0.8320484581	0.5305887578
387	0.8320484581	0.5302573026
388	0.8313142438	0.5297519673
389	0.8325991189	0.529015189
390	0.8335168869	0.5285040126
391	0.8340675477	0.5282235203
392	0.8331497797	0.5277511128
393	0.8335168869	0.5272916162
394	0.8338839941	0.5270597732
395	0.8346182085	0.5268287591
396	0.8342511013	0.526462232
397	0.8344346549	0.5262290908
398	0.8349853157	0.5256341058
399	0.8366372981	0.5250124252
400	0.8375550661	0.5243011606
401	0.8375550661	0.5237737622
402	0.8382892805	0.5234208507
403	0.8381057269	0.5227098925
404	0.8381057269	0.522506716
405	0.8381057269	0.5223414859
406	0.8384728341	0.5218468147
407	0.8377386197	0.5214614486
408	0.8392070485	0.5207239315
409	0.8393906021	0.5203214018
410	0.8395741557	0.5197664238
411	0.8399412628	0.5194794212
412	0.8410425844	0.5189631458
413	0.8414096916	0.5186313049
414	0.842143906	0.5181820484
415	0.8426945668	0.5173369463
416	0.8445301028	0.5165121294
417	0.8436123348	0.516085755
418	0.8428781204	0.5155682033
419	0.8425110132	0.515348042
420	0.8432452276	0.5149470052
421	0.843979442	0.514636758
422	0.8450807636	0.5143525051
423	0.84489721	0.5138139863
424	0.8450807636	0.5132314347
425	0.845814978	0.5128945237
426	0.8469162996	0.5119987884
427	0.8470998532	0.5118146687
428	0.8470998532	0.5113448463
429	0.8483847283	0.5104192731
430	0.8487518355	0.509885284
431	0.8496696035	0.5092902218
432	0.8513215859	0.5089459715
433	0.8511380323	0.508421016
434	0.8513215859	0.5077618597
435	0.8515051395	0.5072489151
436	0.8516886931	0.5063769302
437	0.8509544787	0.5058869529
438	0.8509544787	0.5057422538
439	0.8509544787	0.5055390181
440	0.8522393539	0.5049736693
441	0.8529735683	0.504599778
442	0.8538913363	0.5043875592
443	0.8537077827	0.5040348213
444	0.8537077827	0.503165463
445	0.8540748899	0.5027672947
446	0.8546255507	0.5024417051
447	0.8549926579	0.5021662393
448	0.8553597651	0.5020202859
449	0.856277533	0.5016636442
450	0.8559104258	0.501286189
451	0.8564610866	0.5008124035
452	0.8566446402	0.5003143238
453	0.8564610866	0.5000332526
454	0.8564610866	0.4992953566
455	0.8570117474	0.4986634285
456	0.8568281938	0.4983088012
457	0.8566446402	0.4979685267
458	0.8566446402	0.4977805847
459	0.8568281938	0.4974713041
460	0.8568281938	0.4971962307
461	0.858113069	0.496645983
462	0.8575624082	0.49611905
463	0.8579295154	0.4956749106
464	0.8593979442	0.4952127928
465	0.8592143906	0.4948518528
466	0.8597650514	0.4945620547
467	0.859030837	0.4942107238
468	0.859948605	0.4939706455
469	0.8603157122	0.4932300663
470	0.8604992658	0.4928383585
471	0.860866373	0.4923351053
472	0.8614170338	0.4916997002
473	0.861784141	0.4914532086
474	0.8621512482	0.4909480481
475	0.8619676946	0.4904291578
476	0.8621512482	0.4900554125
477	0.8632525698	0.4895250258
478	0.8638032305	0.4892277661
479	0.8641703377	0.4889497255
480	0.8645374449	0.4882846899
481	0.8650881057	0.4875647412
482	0.8643538913	0.4871512434
483	0.8647209985	0.4866620733
484	0.8649045521	0.4862457517
485	0.8650881057	0.4860114433
486	0.8667400881	0.4855549869
487	0.8661894273	0.4851789799
488	0.8665565345	0.4848117769
489	0.8672907489	0.4844211782
490	0.8676578561	0.4839848066
491	0.8674743025	0.4834668555
492	0.8678414097	0.4827373888
493	0.8685756241	0.4821753208
494	0.8689427313	0.4818413125
495	0.8689427313	0.4815322059
496	0.8694933921	0.481160129
497	0.8693098385	0.4809109402
498	0.8687591777	0.480571718
499	0.8693098385	0.4802441429
